Name,Club,Position,Overall
Daan Huisman,FK Haugesund,CM,66
Paul Iacob,FC Rapid 1923,CB,66
Cesar Ibañez,Huracán,LB,66
Wilson Ibarrola,Atlético Tucumán,LB,66
Luka Ilić,ESTAC Troyes,CAM,66
Tomoki Imai,Western United,CB,66
Pablo Iñiguez,Villarreal CF B,CB,66
Manuel Insaurralde,San Lorenzo,CM,66
Nikita Iosifov,CD Mirandés,RM,66
Alessio Iovine,Como,RM,66
Juan Manuel Izquierdo,Liverpool,CB,66
Sebastian Jacob,Saarbrücken,ST,66
Valentin Jacob,AC Ajaccio,CAM,66
Joe Jacobson,Wycombe,CB,66
Marin Jakoliš,Melbourne City,ST,66
Rafał Janicki,Górnik Zabrze,CB,66
Isak Jansson,FC Cartagena,ST,66
Erik Janža,Górnik Zabrze,LB,66
Maudo Lamine Jarjué,IF Elfsborg,CB,66
Paweł Jaroszyński,Cracovia,LWB,66
Sylvester Jasper,Portimonense SC,RM,66
Daniel Jebbison,Sheffield Utd,ST,66
James Jeggo,Hibernian,CDM,66
Victor Jensen,FC Utrecht,CM,66
Ruben Yttergård Jenssen,Tromsø IL,CM,66
Ulrik Yttergård Jenssen,Rosenborg BK,CB,66
Jeong Jae Hee,Pohang Steelers,RM,66
Ignacio Jeraldino,R. Sporting,ST,66
Jiang Zhipeng,Wuhan 3 Towns,LB,66
Oscar Johansson,IFK Värnamo,RM,66
Marvin Johnson,Sheffield Wed,LB,66
Max Johnston,SK Sturm Graz,RWB,66
Lloyd Jones,Charlton Ath,CB,66
Derrick Jones,Charlotte FC,CDM,66
Edisson Jordanov,KVC Westerlo,RB,66
Marcelo Jorquera,Cobresal,LB,66
Jakub Jugas,Cracovia,CB,66
Saeed Juma,Al Ain FC,RB,66
Leonel Justiniano,Bolívar,CDM,66
Manu Justo,Racing de Ferrol,ST,66
Lukas Jutkiewicz,Birmingham City,ST,66
Elvis Kabashi,Reggiana,CM,66
Chris Kablan,Lausanne-Sport,LB,66
Kevin Kabran,Stabæk Fotball,RW,66
Jakub Kadak,FC Luzern,CAM,66
Junior Kadile,Stade Lavallois,LM,66
Kylian Kaïboué,Amiens SC,CB,66
Otar Kakabadze,Cracovia,RM,66
Anthony Kalik,Hajduk Split,CAM,66
Lindrit Kamberi,FC Zürich,CB,66
Aboubakary Kanté,SD Huesca,ST,66
Cebrail Karayel,Konyaspor,RB,66
Oleksiy Kaschuk,Shakhtar Donetsk,RM,66
Denso Kasius,AZ,RB,66
David Kasumu,Huddersfield,CM,66
Aléxandros Katránis,Piast Gliwice,LB,66
Kévin Keben,Toulouse FC,RB,66
Ákos Kecskés,Sepsi OSK,CB,66
Thomas Keller,Heidenheim,CB,66
Stephen Kelly,Livingston,CM,66
Liam Kelly,Coventry City,CDM,66
Frankie Kent,Hearts,CB,66
Philippe Paulin Keny,Başakşehir,ST,66
Luca Kerber,Saarbrücken,CM,66
Liam Kerrigan,Como,RM,66
Roman Kerschbaum,SK Rapid Wien,CDM,66
Konstantin Kerschbaumer,Wolfsberger AC,CM,66
Kerem Kesgin,Karagümrük SK,CM,66
Josh Key,Swansea City,RWB,66
Salim Khelifi,Perth Glory,RWB,66
Abdukodir Khusanov,RC Lens,CB,66
Guy-Marcelin Kilama,Hatayspor,CB,66
Kim Jin Ya,FC Seoul,RB,66
Kim Tae Hwan,Ulsan Hyundai,RB,66
Kim Bo Kyung,Suwon Samsung,CM,66
Kim Dong Min,Incheon United,CB,66
Kim Geon Woong,Jeju United,CB,66
Leon King,Rangers,CB,66
Orestis Kiomourtzoglou,Fürth,CDM,66
Peter Kioso,Peterborough,RB,66
Yann Kitala,Almere City FC,ST,66
Eric Bugale Kitolano,Molde FK,CAM,66
Mathias Kjølø,FC Twente,CDM,66
Sebastian Klaas,SC Paderborn 07,CAM,66
Klaus,RWD Molenbeek,CB,66
Harvey Knibbs,Reading,CAM,66
Yuki Kobayashi,Celtic,CB,66
Luca Warrick Koleosho,Burnley,LM,66
Dimitrios Kolovetsios,Kayserispor,CB,66
Gilbert Koomson,Sandefjord,RW,66
Peer Koopmeiners,Almere City FC,CDM,66
Patrick Koronkiewicz,Viktoria Köln,RWB,66
Luka Krajnc,Catanzaro,CB,66
Joris Kramer,Go Ahead Eagles,CB,66
Blaž Kramer,Legia Warszawa,ST,66
Bledian Krasniqi,FC Zürich,CM,66
Anton Krešić,CFR 1907 Cluj,CB,66
Dmytro Kryskiv,Shakhtar Donetsk,CM,66
Lukas Kunze,VfL Osnabrück,CM,66
Rafał Kurzawa,Pogoń Szczecin,LM,66
Stefan Kutschke,Dynamo Dresden,ST,66
Kwon Hyeok Kyu,Celtic,CDM,66
Jakub Łabojko,Ternana,CDM,66
Gustaf Lagerbielke,Celtic,CB,66
Fynn Lakenmacher,1860 München,ST,66
Macaulay Langstaff,Notts County,ST,66
Eric Lanini,Reggiana,ST,66
Lassi Lappalainen,CF Montréal,LM,66
Enzo Larrosa,Godoy Cruz,ST,66
Japhet Sery Larsen,SK Brann,CB,66
Mads Lauritsen,Viborg FF,CB,66
Joaquín Lavega,River Plate,LM,66
Jamie Lawrence,1. FC Magdeburg,CB,66
Matías Lazo,FBC Melgar,CB,66
Florian Le Joncour,RWD Molenbeek,CB,66
Luke Le Roux,FC Volendam,CDM,66
Orest Lebedenko,FC Vizela,LB,66
Lee Ju Yong,Jeju United,LWB,66
Kelvin Leerdam,LA Galaxy,RB,66
Mateusz Łęgowski,Salernitana,CDM,66
Julian Lelieveld,RKC Waalwijk,RB,66
Nunzio Lella,Venezia,CM,66
Tim Lemperle,Fürth,RM,66
Enzo Leopold,Hannover 96,CM,66
Kevin Lewis,Danubio,LB,66
Jonathan Lewis,Colorado Rapids,CF,66
Li Ang,Shanghai Port,CB,66
Bryan Limbombe,Heracles Almelo,LW,66
Jaylin Lindsey,Charlotte FC,RB,66
Evert Linthorst,Go Ahead Eagles,CM,66
Marcin Listkowski,Lecce,CF,66
Liu Yang,Shandong Taishan,LB,66
Percy Liza,Sporting Cristal,ST,66
Ivan Ljubić,LASK,CM,66
Lenny Lobato,Vélez Sarsfield,LM,66
Lobete,FC Andorra,ST,66
Enzo Lombardo,SD Huesca,LM,66
Ryan Longman,Millwall,LW,66
Nigel Lonwijk,Grasshopper Club,CB,66
Roberto Lopes,Shamrock Rovers,CB,66
Fran Manzanara,Racing de Ferrol,CDM,66
Sayfallah Ltaief,FC Winterthur,LM,66
Williams Lugo,Puerto Cabello,CAM,66
Jakub Łukowski,Korona Kielce,RM,66
Daniel Luna,RCD Mallorca,CAM,66
Valgeir Lunddal,BK Häcken,RB,66
Adam Lundqvist,Austin FC,LB,66
Rafael Lutiger,Sporting Cristal,CB,66
Thierry Lutonda,RKC Waalwijk,LB,66
Luís Mata,Zagłębie Lubin,LB,66
Ignacio Maestro Puch,Atlético Tucumán,ST,66
Abdussalam Magashy,AIK,CAM,66
Sean Maguire,Carlisle United,ST,66
Jack Maher,Nashville SC,CB,66
Sebastian Mai,MSV Duisburg,CB,66
Lars Lukas Mai,FC Lugano,CB,66
Christian Makoun,New England,CB,66
Cebrail Makreckis,Ferencvárosi TC,CAM,66
Daniel Maldini,Empoli,CAM,66
Streli Mamba,Dalian Pro,ST,66
Juan Mancín,Metropolitanos,RW,66
Roger Manrique,Caracas F.C.,LB,66
Brian Mansilla,Peñarol,LM,66
César Lobi Manzoki,Dalian Pro,ST,66
Jack Marriott,Fleetwood Town,ST,66
Luca Marseiler,Viktoria Köln,LM,66
Ronaldo Martínez,Platense,ST,66
Fernando Martínez,Sarmiento,CDM,66
Felipe,Orlando City,CDM,66
Javi Martón,CD Mirandés,ST,66
Gaetano Masucci,Pisa,ST,66
Alexandru Mățan,Columbus Crew,CF,66
Cosmin Matei,Sepsi OSK,CAM,66
Alexandru Mateiu,Univ. Craiova,CDM,66
Marcus Mathisen,Wehen Wiesbaden,CB,66
Anthony Matos,Est. de Mérida,CB,66
José Mauri,Sarmiento,CM,66
Adrian Mazilu,Farul Constanța,RW,66
Amadou Mbengue,Reading,CB,66
Josh McEachran,Oxford United,CDM,66
Yaimar Medina,Independiente DV,LWB,66
Joshua Mees,Holstein Kiel,LW,66
Marcel Mehlem,SC Verl,CM,66
Jonathan Meier,Dynamo Dresden,LB,66
Thomas Meißner,Hansa Rostock,CB,66
Robin Meißner,Dynamo Dresden,ST,66
Mehdi Merghem,En Avant Guingamp,RM,66
David Miculescu,FCSB,RW,66
Jorge Mier,SD Amorebieta,RB,66
Javi Mier,SD Huesca,CM,66
Alex Mighten,KV Kortrijk,LW,66
Daniel Mikić,SC Verl,CB,66
Juan Millán,Danubio,CDM,66
Sota Mino,FC Hermannstadt,CDM,66
Leonardo Rocha,Radomiak Radom,ST,66
Damon Mirani,FC Volendam,CB,66
Bogdan Mitrea,FC Univ. Cluj,CB,66
Kevin Molino,Columbus Crew,LM,66
Nacho Monsalve,ŁKS Łódź,CB,66
Juan Montenegro,Guabirá,RM,66
Jefferson Montero,Aucas,LW,66
Lucas Monzón,Danubio,CB,66
Pol Moreno,R. Racing Club,CB,66
Dani Morer,FC Famalicão,RB,66
Leandro Morgalla,RB Salzburg,CB,66
Nicolás Morgantini,Platense,RB,66
Aaron Morley,Bolton,CM,66
Raúl Moro,R. Valladolid CF,LW,66
Ravel Morrison,D.C. United,CAM,66
Ariel Mosór,Piast Gliwice,CB,66
Fabián Mosquera,Deportes Tolima,CDM,66
Juan David Mosquera,Portland Timbers,RB,66
Aimen Moueffek,AS Saint-Étienne,CM,66
Jonathan Moya,Hyderabad FC,ST,66
Ernest Muçi,Legia Warszawa,ST,66
Arbnor Mucolli,IFK Göteborg,LM,66
Luis Muñoz,FC Cartagena,CM,66
David Murillo,Dep. Pereira,RB,66
Derry John Murkin,FC Schalke 04,LWB,66
Anthony Musaba,Sheffield Wed,RM,66
Benito,Dynamo Kyiv,LM,66
Alex Muyl,Nashville SC,CM,66
Tristan Muyumba,Atlanta United,CDM,66
Moussa N'Diaye,RSC Anderlecht,LB,66
Andrew Nabbout,Melbourne City,RM,66
Yuta Nakayama,Huddersfield,CB,66
Adi Nalić,Hammarby IF,CAM,66
Gonzalo Nápoli,Liverpool,CM,66
Gian Nardelli,Colón,CB,66
Ivan Näsberg,PAOK FC,CB,66
Álvaro Navarro,Defensor,ST,66
Julián Navas,Central Córdoba,RB,66
Basilio Ndong,Univ. Craiova,LB,66
Alioune Ndour,Estrela Amadora,ST,66
Ionuț Neagu,SC Oțelul Galați,CDM,66
John Nelson,St. Louis CITY SC,LB,66
Jayden Nelson,Rosenborg BK,LW,66
Jakob Nerwinski,St. Louis CITY SC,RB,66
Maurice Neubauer,SV Elversberg,LB,66
Byron Nieto,Uni. Católica,RB,66
Miloš Ninković,WS Wanderers,CAM,66
Nikoloz Ninua,PAOK FC,CM,66
Josh Nisbet,Central Coast,CM,66
Alexander Nollenberger,1. FC Magdeburg,LW,66
Ollie Norburn,Blackpool,CM,66
Osnar Noronha,UCV,ST,66
Brooke Norton-Cuffy,Millwall,RB,66
Tijjani Noslin,Fortuna Sittard,RM,66
Toto Nsiala,Fleetwood Town,CB,66
Antonio Nusa,Club Brugge,RM,66
Benjamin Nygren,FC Nordsjælland,ST,66
Jake O'Brien,OL,CB,66
Warren O'Hora,MK Dons,CB,66
Daniel O'Shaughnessy,Karlsruher SC,CB,66
Johann Obiang,Pau FC,LWB,66
Jordan Obita,Hibernian,LB,66
Hakeem Odoffin,Rotherham Utd,CDM,66
Mohamed Ofkir,Vålerenga Fotball,LW,66
Ebenezer Ofori,Vejle Boldklub,CDM,66
Nathanael Ogbeta,Swansea City,LWB,66
Agustín Ojeda,Racing Club,LW,66
Angel Ojeda,Cienciano,CDM,66
Bryan Okoh,RB Salzburg,CB,66
Mathias Olesen,1. FC Köln,CM,66
Hélder Sá,Radomiak Radom,LB,66
Gonçalo Silva,Farense,CB,66
Marcus Olsson,Halmstads BK,LB,66
Răzvan Onea,FC Rapid 1923,RB,66
Nicholas Opoku,Amiens SC,CB,66
Joel Ordoñez,Club Brugge,CB,66
Roberto Ordóñez,Aucas,ST,66
Charlis Ortiz,Metropolitanos,ST,66
Peter Ouaneh,Stade Lavallois,CB,66
Aziz Ouattara,KRC Genk,CDM,66
Shady Oukhadda,Modena,RB,66
Alpaslan Öztürk,Pendikspor,CB,66
Marlon Pack,Portsmouth,CDM,66
Manuel Palacios,Rongcheng FC,RW,66
Cole Palmer,Chelsea,CAM,66
Radovan Pankov,Legia Warszawa,CB,66
Alexandru Pantea,FCSB,RB,66
Sotirios Papagiannopoulos,AIK,CB,66
Jayson Papeau,FC Rapid 1923,LW,66
Merveille Papela,1. FSV Mainz 05,CM,66
Park Soo Il,FC Seoul,RB,66
Álex Pastor,FC Andorra,CB,66
Nicola Pavan,Cittadella,CM,66
Nehuén Paz,Uni. Católica,CB,66
Daouda Peeters,Südtirol,CDM,66
Mauro Peinipil,Barracas Central,RB,66
Théo Pellenard,AJ Auxerre,CB,66
Lee Peltier,Rotherham Utd,CB,66
Pietro Perdichizzi,KVC Westerlo,CB,66
Andrés Perea,New York City FC,CDM,66
Luis Perea,CD Leganés,CDM,66
Daniel Pereira,Austin FC,CDM,66
Panutche Camará,Charlton Ath,CM,66
Matheus Pereira,FC Vizela,LB,66
João Queirós,GD Chaves,CB,66
Nuno Reis,Melbourne City,CB,66
Rodrigo Pérez,Defensor,CM,66
Kevin Pérez,Deportes Tolima,CAM,66
Maximiliano Perg,Nacional,CB,66
Manuel Pfeifer,TSV Hartberg,LB,66
Romain Philippoteaux,NorthEast United,LW,66
Killian Phillips,Wycombe,CM,66
Carl Piergianni,Stevenage,CB,66
Kik Pierie,Excelsior,CB,66
Shaquille Pinas,Hammarby IF,CB,66
Lenny Pintor,LASK,LM,66
Alexi Pitu,Bordeaux,LW,66
Júnior Pius,FC Botoșani,CB,66
Thomas Pledl,MSV Duisburg,RM,66
Ole Pohlmann,Borussia Dortmund,CM,66
Ernest Poku,AZ,LW,66
Ovidiu Popescu,FCSB,CDM,66
Alvas Powell,FC Cincinnati,RB,66
Mateusz Praszelik,Cosenza,CF,66
Nik Prelec,WSG Tirol,ST,66
Christophe Psyché,Tromsø IL,CB,66
Miguel Puche,Arouca,LM,66
Afimico Pululu,Jagiellonia,LM,66
Qian Jiegei,Zhejiang Pro,CDM,66
Giacomo Quagliata,Cremonese,LWB,66
Daniel Queipo,R. Sporting,LM,66
Diogo Queirós,Farul Constanța,CB,66
Yuber Quiñones,Millonarios,LM,66
Yeferson Quintana,Defensor,CB,66
Joel Quintero,CS Emelec,CB,66
Franco Quinteros,Banfield,LB,66
Aarón Quirós,Banfield,CB,66
Sean Raggett,Portsmouth,CB,66
Marko Raguž,FK Austria Wien,ST,66
Michał Rakoczy,Cracovia,CF,66
Rubén Ramírez,Monagas SC,CB,66
Adam Randell,Plymouth Argyle,CM,66
Cornel Râpă,Cracovia,RWB,66
Damian Rasak,Górnik Zabrze,CDM,66
Christiaan Ravych,Cercle Brugge,CB,66
Djorkaeff Reasco,Instituto,ST,66
Youri Regeer,FC Twente,RB,66
Edisson Restrepo,Dep. Pereira,CB,66
Taylor Richards,QPR,CAM,66
Tim Rieder,1860 München,CDM,66
Søren Rieks,Malmö FF,LM,66
Roope Riski,HJK Helsinki,ST,66
Lars Ritzka,FC St. Pauli,LWB,66
José Rivera,Universitario,LW,66
Daniel Rivillo,Caracas F.C.,RB,66
Matías Rocha,Arouca,CB,66
Ribair Rodríguez,Danubio,CDM,66
Axel Rodríguez,Atlético Tucumán,ST,66
Ignacio Rodríguez,Liverpool,CB,66
Pablo Rodríguez,Ascoli,CF,66
Rayco,SD Amorebieta,RM,66
Víctor Rodríguez,FC Goa,LM,66
Miguel Rodríguez,RC Celta,RM,66
Samuel Rogers,Lillestrøm SK,CB,66
Filip Rogić,HJK Helsinki,CM,66
Ante Roguljić,Univ. Craiova,CAM,66
Daniel Rojas,O. Petrolero,CM,66
Juan Diego Rojas,Delfín S.C.,RM,66
Ole Romeny,FC Utrecht,LW,66
Ruben Roosken,Heracles Almelo,LB,66
Siro Rosane,Barracas Central,CDM,66
Guille Rosas,R. Sporting,RB,66
Max Rosenfelder,SC Freiburg,CB,66
Mathias Ross,N.E.C. Nijmegen,CB,66
Matheus Rossetto,Atlanta United,CM,66
Leândro,Radomiak Radom,RM,66
Alexander Rossipal,Hansa Rostock,LWB,66
Baptiste Roux,En Avant Guingamp,CB,66
Jonathan Rowe,Norwich,LM,66
Pirulo,ŁKS Łódź,RM,66
Milan Rundić,Raków,CB,66
Elias Saad,FC St. Pauli,LM,66
Alexis Sabella,San Lorenzo,LW,66
Noah Sadaoui,FC Goa,LM,66
Görkem Sağlam,Hatayspor,CAM,66
Semih Sahin,SV Elversberg,CDM,66
Cris Salvador,Elche CF,CM,66
Lars-Jørgen Salvesen,Viking FK,ST,66
Tobias Sana,BK Häcken,LW,66
Alvyn Sanches,Lausanne-Sport,CM,66
Erwin Junior Sánchez,O. Petrolero,CAM,66
Diego Sánchez,R. Sporting,LB,66
Simon Sandberg,BK Häcken,RB,66
Marco Sangalli,R. Racing Club,RM,66
Pedro Amador,Moreirense FC,LB,66
Vinko Sapina,Rot-Weiss Essen,CM,66
CJ Sapong,Toronto FC,ST,66
Marco Saravia,Universitario,CB,66
Killian Sardella,RSC Anderlecht,RB,66
Mamadou Sarr,OL,CB,66
Gökhan Sazdağı,Kayserispor,LM,66
Liam Scales,Celtic,CB,66
Raphael Schifferl,Unterhaching,CB,66
Patrick Schmidt,Saarbrücken,ST,66
Augusto Schott,Newell's,RB,66
Tobias Schröck,FC Ingolstadt 04,CB,66
Morris Schröter,1860 München,RM,66
Luca Schuler,1. FC Magdeburg,ST,66
Michael Schultz,Viktoria Köln,CB,66
Markus Schwabl,Unterhaching,RB,66
Petr Schwarz,Śląsk Wrocław,CM,66
Iker Seguín,SD Amorebieta,LB,66
Matthias Seidl,SK Rapid Wien,CAM,66
Václav Sejk,Sparta Praha,ST,66
Seo Young Jae,Daejeon Citizen,LWB,66
Cemali Sertel,Başakşehir,LB,66
Nicolás Servetto,Platense,ST,66
Yoan Severin,Servette FC,CB,66
Jacob Shaffelburg,Nashville SC,LM,66
Liam Shaw,Wigan Athletic,CM,66
Jordan Shipley,Shrewsbury,LWB,66
Nicklas Shipnoski,Arminia Bielefeld,RM,66
Ilya Shkurin,Stal Mielec,ST,66
Raz Shlomo,OH Leuven,CB,66
Armindo Sieb,Fürth,ST,66
Nicholas Siega,Südtirol,CM,66
Rúnar Már Sigurjónsson,FC Voluntari,CM,66
Denis Simani,FC Luzern,CB,66
Scott Sinclair,Bristol Rovers,RW,66
José Luis Sinisterra,Blooming,LM,66
Olaus Jair Skarsem,Rosenborg BK,CM,66
Ari Skúlason,IFK Norrköping,CDM,66
Naatan Skyttä,Toulouse FC,CAM,66
Korey Smith,Derby County,CDM,66
Sam Smith,Reading,ST,66
Kyle Smith,Orlando City,RB,66
Franco Soldano,Gimnasia,ST,66
Edoardo Soleri,Palermo,ST,66
Matteo Solini,Como,CB,66
Adam Sørensen,FK Bodø/Glimt,LB,66
Joaquín Sosa,Dinamo Zagreb,CB,66
Sambou Soumano,Quevilly Rouen,ST,66
Lucas Souto,Huracán,RB,66
Gianni Stensness,Viking FK,CB,66
Patryk Stępiński,Widzew Łódź,RB,66
Basil Stillhart,FC Winterthur,CB,66
Finn Stokkers,Go Ahead Eagles,ST,66
Petter Strand,Vålerenga Fotball,CM,66
John-Patrick Strauß,Hansa Rostock,RWB,66
Jared Stroud,St. Louis CITY SC,LM,66
Nikola Štulić,Sp. Charleroi,ST,66
Yeison Suárez,Dep. Pereira,CB,66
Anssi Suhonen,Hamburger SV,CAM,66
Toichi Suzuki,Lausanne-Sport,LB,66
Svensson,CA Osasuna,ST,66
Habib Sylla,GD Chaves,RB,66
Eddy Sylvestre,Grenoble Foot 38,CM,66
Filip Szymczak,Lech Poznań,ST,66
Edvard Sandvik Tagseth,Rosenborg BK,LB,66
Tang Xin,Rongcheng FC,RWB,66
Dylan Tavares,SC Bastia,LWB,66
Duplexe Tchamba,Casa Pia AC,CB,66
Loum Tchaouna,Salernitana,RM,66
Allan Tchaptchet,Grenoble Foot 38,CB,66
Tonio Teklić,Trabzonspor,CAM,66
Miro Tenho,HJK Helsinki,CB,66
Nigel Thomas,Viborg FF,LW,66
Stefán Teitur Thórdarson,Silkeborg IF,CM,66
Angus Thurgate,Western United,CDM,66
Alex Timossi Andersson,Brommapojkarna,RM,66
Simy,Salernitana,ST,66
Agustín Toledo,Rosario Central,CDM,66
Grzegorz Tomasiewicz,Piast Gliwice,CDM,66
Silvio Torales,S. Ameliano,CM,66
Claudio Torrejón,Cienciano,CDM,66
Saúl Torres,The Strongest,RB,66
Jairo Torres,Chicago Fire FC,CM,66
Hussayn Touati,Servette FC,LW,66
Omar Haktab Traoré,Heidenheim,RB,66
Borislav Tsonev,Dalian Pro,CM,66
Blair Turgott,BK Häcken,ST,66
Oscar Uddenäs,Excelsior,RM,66
Daniel Udoh,Shrewsbury,ST,66
Maximiliano Urruti,Austin FC,ST,66
Edgaras Utkus,Cercle Brugge,CB,66
Kener Valencia,Dep. Pereira,ST,66
Joaquín Valiente,Defensor,LW,66
Borja Valle,FC Rapid 1923,ST,66
Hugo Vallejo,SD Huesca,LM,66
Dario Van den Buijs,RKC Waalwijk,CB,66
Jasper van der Werff,Hansa Rostock,CB,66
Alec Van Hoorenbeeck,FC Twente,LB,66
Rajiv van La Parra,Almere City FC,LW,66
Yoëll van Nieff,Mumbai City FC,CDM,66
Éric Vandenabeele,Rodez AF,CB,66
Lisandro Semedo,Radomiak Radom,RM,66
Ricardinho,FC Voluntari,RB,66
Víctor Vázquez,Toronto FC,CAM,66
Edison Vega,Aucas,CDM,66
Marcelo Lopes,FC Voluntari,RM,66
Josh Vela,Fleetwood Town,CM,66
Odysseus Velanas,PEC Zwolle,CAM,66
Diego Vera,Danubio,ST,66
Nikolas Veratschnig,Wolfsberger AC,RWB,66
Luca Verna,Catanzaro,CM,66
Frédéric Veseli,Karagümrük SK,CB,66
Viljar Helland Vevatne,Viking FK,CB,66
Luca Vido,Reggiana,ST,66
Gabriel Vidović,Dinamo Zagreb,LM,66
Luís Machado,Radomiak Radom,LM,66
Andrés Vilches,Ñublense,ST,66
Oscar Vilhelmsson,SV Darmstadt 98,ST,66
Christophe Vincent,SC Bastia,CM,66
Kévin Vinetot,Südtirol,CB,66
Ștefan Vlădoiu,Univ. Craiova,RB,66
Ilija Vukotić,Boavista FC,CM,66
Ibrahima Wadji,AS Saint-Étienne,ST,66
Robert Wagner,Fürth,CM,66
Lachlan Wales,Western United,RM,66
Wang Jinxian,Changchun Yatai,LM,66
Wang Shenchao,Shanghai Port,RB,66
Wang Tong,Shandong Taishan,RB,66
Conor Washington,Derby County,ST,66
Elliot Watt,Salford City,CDM,66
Mateusz Wdowiak,Zagłębie Lubin,CF,66
Marcel Wędrychowski,Pogoń Szczecin,RM,66
Nelson Weiper,1. FSV Mainz 05,ST,66
Jensen Weir,Blackpool,CM,66
Morgan Whittaker,Plymouth Argyle,RM,66
Danilo Wiebe,Braunschweig,CB,66
Kamil Wilczek,Piast Gliwice,ST,66
Mallik Wilks,Sheffield Wed,ST,66
Paul Will,Dynamo Dresden,CDM,66
Derrick Williams,D.C. United,CB,66
Josh Williams,Columbus Crew,CB,66
Kane Wilson,Derby County,RWB,66
Bobby Wood,New England,ST,66
Richard Wood,Doncaster,CB,66
Ben Woodburn,Preston,CAM,66
Lucas Woudenberg,Valenciennes FC,LB,66
Callum Wright,Plymouth Argyle,CM,66
Matthéo Xantippe,Grenoble Foot 38,LB,66
Pape Ndiaga Yade,Quevilly Rouen,LM,66
Zeki Yavru,Samsunspor,RB,66
Dru Yearwood,Red Bulls,CM,66
Yaw Yeboah,Columbus Crew,LM,66
Emmanuel Yeboah,Brøndby IF,RM,66
Yeon Je Woon,Jeju United,CB,66
Aygün Yıldırım,Arminia Bielefeld,RM,66
Yin Hongbo,Meizhou Hakka,RM,66
Daisuke Yokota,Górnik Zabrze,RM,66
Isaiah Young,Rot-Weiss Essen,LM,66
Nicolás Zalazar,Ñublense,CB,66
Maximiliano Zalazar,Platense,LM,66
Žan Zaletel,Viborg FF,CB,66
Edgar Zaracho,S. Ameliano,CM,66
Mattia Zennaro,Feralpisalò,CM,66
Zhong Yihao,Henan SSLM FC,LM,66
Leonard Zuta,Brommapojkarna,LWB,66
Joël Zwarts,1860 München,ST,66
Matías Abaldo,Gimnasia,RW,65
Hakim Abdallah,FC Dinamo 1948,ST,65
Fabio Abiuso,Modena,ST,65
Mo Adams,Al Shabab,CDM,65
Jacob Adebanjo,Puerto Cabello,CB,65
Harrison Afful,Charlotte FC,RB,65
Daniel Afriyie,FC Zürich,LM,65
Adnan Aganović,Sepsi OSK,CM,65
David Ajiboye,Peterborough,RM,65
Nasser Al Dawsari,Al Hilal,LB,65
Mohammed Al Fatil,Al Nassr,CB,65
Hamadi Al Ghaddioui,SC Freiburg II,ST,65
Khalid Al Ghannam,Al Nassr,LM,65
Rami Al Hajj,Odense BK,CAM,65
Saeed Al Rubaie,Al Okhdood,CB,65
Ahmed Al Zain,Damac FC,RW,65
Amir Al-Ammari,Halmstads BK,CM,65
Mads Albæk,Randers FC,CM,65
Raúl Albentosa,Vejle Boldklub,CB,65
Christian Alemán,Aucas,CAM,65
Migouel Alfarela,SC Bastia,ST,65
Kerim Alıcı,Hatayspor,RB,65
Isnik Alimi,Sepsi OSK,CM,65
Sandro Altunashvili,Wolfsberger AC,CM,65
Sone Aluko,Ipswich,CAM,65
Rodrigo Amarilla,Guaraní,RM,65
Youssef Amyn,Braunschweig,LW,65
Hugo Ancajima,Universitario,RWB,65
Nilson Angulo,RSC Anderlecht,CAM,65
Marco Antonio Angulo,FC Cincinnati,CDM,65
Luis Annese,Metropolitanos,ST,65
Kent-Are Antonsen,Tromsø IL,CM,65
Alexis Antunes,Servette FC,CM,65
Julien Anziani,USL Dunkerque,CM,65
Aias Aosman,Pendikspor,CF,65
Arambarri,CD Leganés,CB,65
Jon Aramburu,Real Sociedad,RB,65
Arana,R. Racing Club,ST,65
Gabriel Aranda,Banfield,CB,65
Vitó,Estrela Amadora,CM,65
Musa Araz,FC Winterthur,CM,65
Juan Carlos Arce,Blooming,CAM,65
Teodoro Arce,Gral. Caballero,RM,65
Theo Archibald,Leyton Orient,RM,65
Taïryk Arconte,Rodez AF,ST,65
Daniel Arzani,Melb. Victory,LM,65
Jasin Assehnoun,Vejle Boldklub,LM,65
Isaac Atanga,Aalesunds FK,LM,65
Avilés,SD Amorebieta,RM,65
Oğuz Aydın,Alanyaspor,LM,65
Jonah Ayunga,St. Mirren,ST,65
Femi Azeez,Reading,RM,65
Pedrinho,Shakhtar Donetsk,LB,65
Adriel Ba Loua,Lech Poznań,RM,65
Youri Baas,N.E.C. Nijmegen,LB,65
Khouma Babacar,F.C. København,ST,65
Kearyn Baccus,Macarthur FC,CDM,65
William Baeten,FCU 1948,RM,65
Thibo Baeten,Go Ahead Eagles,ST,65
Jean-Mattéo Bahoya,Angers SCO,CAM,65
Bak Jae Yong,Jeonbuk Hyundai,ST,65
Marvin Bakalorz,MSV Duisburg,CDM,65
Zakaria Bakkali,RKC Waalwijk,LM,65
Enrico Baldini,Cittadella,ST,65
Husein Balić,LASK,ST,65
Tiago Banega,Unión,CM,65
Johan Bångsbo,IFK Göteborg,CB,65
Sacha Banse,Valenciennes FC,CDM,65
Tom Barkhuizen,Derby County,LM,65
Orlando Barreto,Olimpia,CB,65
Connor Barron,Aberdeen,CM,65
Cristian Barros,River Plate,RM,65
Jakub Bartkowski,Warta Poznań,RWB,65
Felix Bastians,Rot-Weiss Essen,LB,65
