Name,Nation,Position,Overall
Raudy Guerrero,Venezuela,RM,66
Nesta Guinness-Walker,England,LB,66
Muhammed Gümüşkaya,Turkey,LM,66
Jostein Gundersen,Norway,CB,66
Julian Günther-Schmidt,Germany,CAM,66
Ahmet Gürleyen,Germany,CB,66
Carl Gustafsson,Sweden,CM,66
Filipe Nascimento,Portugal,CM,66
Jon Guthrie,England,CB,66
Silvio Gutiérrez,Ecuador,LB,66
Daniel Gutiérrez,Chile,CB,66
Maxwell Gyamfi,Germany,CB,66
Giovanni Haag,France,CDM,66
Maren Haile-Selassie,Switzerland,RM,66
Besar Halimi,Kosovo,CAM,66
Lewis Hall,England,LB,66
George Hall,England,CAM,66
Andy Halliday,Scotland,LB,66
Niko Hämäläinen,Finland,LB,66
CJ Hamilton,Republic of Ireland,LM,66
Sergiu Hanca,Romania,RW,66
Simon Handle,Germany,LM,66
Mads Hansen,Denmark,RW,66
Daniel Hanslik,Germany,LM,66
Ryan Hardie,Scotland,ST,66
Marcus Harness,England,LM,66
Nathan Harriel,United States,RB,66
Mark Harris,Wales,ST,66
Ellis Harrison,Wales,ST,66
Haissem Hassan,France,RM,66
Tom Hateley,England,CDM,66
Omar Hawsawi,Saudi Arabia,CB,66
Henrik Heggheim,Norway,CB,66
Jürgen Heil,Austria,CM,66
Juan José Heinze,Argentina,RM,66
Ramon Hendriks,Holland,CB,66
David Henen,Togo,RM,66
Gustav Henriksson,Sweden,CB,66
Óscar Hernández,Venezuela,CDM,66
Ibrahim Hesar,Argentina,LM,66
Perparim Hetemaj,Finland,CM,66
James Hill,England,CB,66
Lukas Hinterseer,Austria,ST,66
Leo Hjelde,Norway,LB,66
Noah Jean Holm,Norway,ST,66
Frederik Holst,Denmark,CM,66
Jason Holt,Scotland,CDM,66
Siebe Horemans,Belgium,RB,66
Jizz Hornkamp,Holland,ST,66
Jordan Houghton,England,CDM,66
Sam Hughes,England,CB,66
Daan Huisman,Holland,CM,66
Paul Iacob,Romania,CB,66
Cesar Ibañez,Argentina,LB,66
Wilson Ibarrola,Paraguay,LB,66
Luka Ilić,Serbia,CAM,66
Tomoki Imai,Japan,CB,66
Pablo Iñiguez,Spain,CB,66
Manuel Insaurralde,Argentina,CM,66
Nikita Iosifov,Russia,RM,66
Alessio Iovine,Italy,RM,66
Juan Manuel Izquierdo,Uruguay,CB,66
Sebastian Jacob,Germany,ST,66
Valentin Jacob,France,CAM,66
Joe Jacobson,Wales,CB,66
Marin Jakoliš,Croatia,ST,66
Rafał Janicki,Poland,CB,66
Isak Jansson,Sweden,ST,66
Erik Janža,Slovenia,LB,66
Maudo Lamine Jarjué,Gambia,CB,66
Paweł Jaroszyński,Poland,LWB,66
Sylvester Jasper,Bulgaria,RM,66
Daniel Jebbison,England,ST,66
James Jeggo,Australia,CDM,66
Victor Jensen,Denmark,CM,66
Ruben Yttergård Jenssen,Norway,CM,66
Ulrik Yttergård Jenssen,Norway,CB,66
Jeong Jae Hee,Korea Republic,RM,66
Ignacio Jeraldino,Chile,ST,66
Jiang Zhipeng,China PR,LB,66
Oscar Johansson,Sweden,RM,66
Marvin Johnson,England,LB,66
Max Johnston,Scotland,RWB,66
Lloyd Jones,England,CB,66
Derrick Jones,United States,CDM,66
Edisson Jordanov,Bulgaria,RB,66
Marcelo Jorquera,Chile,LB,66
Jakub Jugas,Czech Republic,CB,66
Saeed Juma,United Arab Emirates,RB,66
Leonel Justiniano,Bolivia,CDM,66
Manu Justo,Spain,ST,66
Lukas Jutkiewicz,England,ST,66
Elvis Kabashi,Albania,CM,66
Chris Kablan,Switzerland,LB,66
Kevin Kabran,Sweden,RW,66
Jakub Kadak,Slovakia,CAM,66
Junior Kadile,France,LM,66
Kylian Kaïboué,France,CB,66
Otar Kakabadze,Georgia,RM,66
Anthony Kalik,Australia,CAM,66
Lindrit Kamberi,Switzerland,CB,66
Aboubakary Kanté,Gambia,ST,66
Cebrail Karayel,Turkey,RB,66
Oleksiy Kaschuk,Ukraine,RM,66
Denso Kasius,Holland,RB,66
David Kasumu,Nigeria,CM,66
Aléxandros Katránis,Greece,LB,66
Kévin Keben,Cameroon,RB,66
Ákos Kecskés,Hungary,CB,66
Thomas Keller,Germany,CB,66
Stephen Kelly,Scotland,CM,66
Liam Kelly,Scotland,CDM,66
Frankie Kent,England,CB,66
Philippe Paulin Keny,Senegal,ST,66
Luca Kerber,Germany,CM,66
Liam Kerrigan,Republic of Ireland,RM,66
Roman Kerschbaum,Austria,CDM,66
Konstantin Kerschbaumer,Austria,CM,66
Kerem Kesgin,Turkey,CM,66
Josh Key,England,RWB,66
Salim Khelifi,Tunisia,RWB,66
Abdukodir Khusanov,Uzbekistan,CB,66
Guy-Marcelin Kilama,Cameroon,CB,66
Kim Jin Ya,Korea Republic,RB,66
Kim Tae Hwan,Korea Republic,RB,66
Kim Bo Kyung,Korea Republic,CM,66
Kim Dong Min,Korea Republic,CB,66
Kim Geon Woong,Korea Republic,CB,66
Leon King,Scotland,CB,66
Orestis Kiomourtzoglou,Germany,CDM,66
Peter Kioso,Republic of Ireland,RB,66
Yann Kitala,France,ST,66
Eric Bugale Kitolano,Norway,CAM,66
Mathias Kjølø,Norway,CDM,66
Sebastian Klaas,Germany,CAM,66
Klaus,Brazil,CB,66
Harvey Knibbs,England,CAM,66
Yuki Kobayashi,Japan,CB,66
Luca Warrick Koleosho,Italy,LM,66
Dimitrios Kolovetsios,Greece,CB,66
Gilbert Koomson,Ghana,RW,66
Peer Koopmeiners,Holland,CDM,66
Patrick Koronkiewicz,Germany,RWB,66
Luka Krajnc,Slovenia,CB,66
Joris Kramer,Holland,CB,66
Blaž Kramer,Slovenia,ST,66
Bledian Krasniqi,Switzerland,CM,66
Anton Krešić,Croatia,CB,66
Dmytro Kryskiv,Ukraine,CM,66
Lukas Kunze,Germany,CM,66
Rafał Kurzawa,Poland,LM,66
Stefan Kutschke,Germany,ST,66
Kwon Hyeok Kyu,Korea Republic,CDM,66
Jakub Łabojko,Poland,CDM,66
Gustaf Lagerbielke,Sweden,CB,66
Fynn Lakenmacher,Germany,ST,66
Macaulay Langstaff,England,ST,66
Eric Lanini,Italy,ST,66
Lassi Lappalainen,Finland,LM,66
Enzo Larrosa,Uruguay,ST,66
Japhet Sery Larsen,Denmark,CB,66
Mads Lauritsen,Denmark,CB,66
Joaquín Lavega,Uruguay,LM,66
Jamie Lawrence,Germany,CB,66
Matías Lazo,Peru,CB,66
Florian Le Joncour,France,CB,66
Luke Le Roux,South Africa,CDM,66
Orest Lebedenko,Ukraine,LB,66
Lee Ju Yong,Korea Republic,LWB,66
Kelvin Leerdam,Suriname,RB,66
Mateusz Łęgowski,Poland,CDM,66
Julian Lelieveld,Holland,RB,66
Nunzio Lella,Italy,CM,66
Tim Lemperle,Germany,RM,66
Enzo Leopold,Germany,CM,66
Kevin Lewis,Uruguay,LB,66
Jonathan Lewis,United States,CF,66
Li Ang,China PR,CB,66
Bryan Limbombe,Belgium,LW,66
Jaylin Lindsey,United States,RB,66
Evert Linthorst,Holland,CM,66
Marcin Listkowski,Poland,CF,66
Liu Yang,China PR,LB,66
Percy Liza,Peru,ST,66
Ivan Ljubić,Austria,CM,66
Lenny Lobato,Brazil,LM,66
Lobete,Spain,ST,66
Enzo Lombardo,France,LM,66
Ryan Longman,England,LW,66
Nigel Lonwijk,Holland,CB,66
Roberto Lopes,Cape Verde Islands,CB,66
Fran Manzanara,Spain,CDM,66
Sayfallah Ltaief,Tunisia,LM,66
Williams Lugo,Venezuela,CAM,66
Jakub Łukowski,Poland,RM,66
Daniel Luna,Colombia,CAM,66
Valgeir Lunddal,Iceland,RB,66
Adam Lundqvist,Sweden,LB,66
Rafael Lutiger,Peru,CB,66
Thierry Lutonda,Belgium,LB,66
Luís Mata,Portugal,LB,66
Ignacio Maestro Puch,Argentina,ST,66
Abdussalam Magashy,Nigeria,CAM,66
Sean Maguire,Republic of Ireland,ST,66
Jack Maher,United States,CB,66
Sebastian Mai,Germany,CB,66
Lars Lukas Mai,Germany,CB,66
Christian Makoun,Venezuela,CB,66
Cebrail Makreckis,Latvia,CAM,66
Daniel Maldini,Italy,CAM,66
Streli Mamba,Germany,ST,66
Juan Mancín,Venezuela,RW,66
Roger Manrique,Venezuela,LB,66
Brian Mansilla,Uruguay,LM,66
César Lobi Manzoki,Central African Republic,ST,66
Jack Marriott,England,ST,66
Luca Marseiler,Germany,LM,66
Ronaldo Martínez,Paraguay,ST,66
Fernando Martínez,Paraguay,CDM,66
Felipe,Brazil,CDM,66
Javi Martón,Spain,ST,66
Gaetano Masucci,Italy,ST,66
Alexandru Mățan,Romania,CF,66
Cosmin Matei,Romania,CAM,66
Alexandru Mateiu,Romania,CDM,66
Marcus Mathisen,Denmark,CB,66
Anthony Matos,Venezuela,CB,66
José Mauri,Italy,CM,66
Adrian Mazilu,Romania,RW,66
Amadou Mbengue,Senegal,CB,66
Josh McEachran,England,CDM,66
Yaimar Medina,Ecuador,LWB,66
Joshua Mees,Germany,LW,66
Marcel Mehlem,Germany,CM,66
Jonathan Meier,Germany,LB,66
Thomas Meißner,Germany,CB,66
Robin Meißner,Germany,ST,66
Mehdi Merghem,France,RM,66
David Miculescu,Romania,RW,66
Jorge Mier,Spain,RB,66
Javi Mier,Spain,CM,66
Alex Mighten,England,LW,66
Daniel Mikić,Germany,CB,66
Juan Millán,Uruguay,CDM,66
Sota Mino,Japan,CDM,66
Leonardo Rocha,Portugal,ST,66
Damon Mirani,Holland,CB,66
Bogdan Mitrea,Romania,CB,66
Kevin Molino,Trinidad and Tobago,LM,66
Nacho Monsalve,Spain,CB,66
Juan Montenegro,Bolivia,RM,66
Jefferson Montero,Ecuador,LW,66
Lucas Monzón,Brazil,CB,66
Pol Moreno,Spain,CB,66
Dani Morer,Spain,RB,66
Leandro Morgalla,Germany,CB,66
Nicolás Morgantini,Argentina,RB,66
Aaron Morley,England,CM,66
Raúl Moro,Spain,LW,66
Ravel Morrison,Jamaica,CAM,66
Ariel Mosór,Poland,CB,66
Fabián Mosquera,Colombia,CDM,66
Juan David Mosquera,Colombia,RB,66
Aimen Moueffek,France,CM,66
Jonathan Moya,Costa Rica,ST,66
Ernest Muçi,Albania,ST,66
Arbnor Mucolli,Albania,LM,66
Luis Muñoz,Spain,CM,66
David Murillo,Colombia,RB,66
Derry John Murkin,England,LWB,66
Anthony Musaba,Holland,RM,66
Benito,Nigeria,LM,66
Alex Muyl,United States,CM,66
Tristan Muyumba,France,CDM,66
Moussa N'Diaye,Senegal,LB,66
Andrew Nabbout,Australia,RM,66
Yuta Nakayama,Japan,CB,66
Adi Nalić,Bosnia and Herzegovina,CAM,66
Gonzalo Nápoli,Uruguay,CM,66
Gian Nardelli,Argentina,CB,66
Ivan Näsberg,Norway,CB,66
Álvaro Navarro,Uruguay,ST,66
Julián Navas,Argentina,RB,66
Basilio Ndong,Equatorial Guinea,LB,66
Alioune Ndour,Senegal,ST,66
Ionuț Neagu,Romania,CDM,66
John Nelson,United States,LB,66
Jayden Nelson,Canada,LW,66
Jakob Nerwinski,United States,RB,66
Maurice Neubauer,Germany,LB,66
Byron Nieto,Chile,RB,66
Miloš Ninković,Serbia,CAM,66
Nikoloz Ninua,Georgia,CM,66
Josh Nisbet,Australia,CM,66
Alexander Nollenberger,Germany,LW,66
Ollie Norburn,Grenada,CM,66
Osnar Noronha,Peru,ST,66
Brooke Norton-Cuffy,England,RB,66
Tijjani Noslin,Holland,RM,66
Toto Nsiala,Congo DR,CB,66
Antonio Nusa,Norway,RM,66
Benjamin Nygren,Sweden,ST,66
Jake O'Brien,Republic of Ireland,CB,66
Warren O'Hora,Republic of Ireland,CB,66
Daniel O'Shaughnessy,Finland,CB,66
Johann Obiang,Gabon,LWB,66
Jordan Obita,England,LB,66
Hakeem Odoffin,England,CDM,66
Mohamed Ofkir,Norway,LW,66
Ebenezer Ofori,Ghana,CDM,66
Nathanael Ogbeta,England,LWB,66
Agustín Ojeda,Argentina,LW,66
Angel Ojeda,Peru,CDM,66
Bryan Okoh,Switzerland,CB,66
Mathias Olesen,Luxembourg,CM,66
Hélder Sá,Portugal,LB,66
Gonçalo Silva,Portugal,CB,66
Marcus Olsson,Sweden,LB,66
Răzvan Onea,Romania,RB,66
Nicholas Opoku,Ghana,CB,66
Joel Ordoñez,Ecuador,CB,66
Roberto Ordóñez,Ecuador,ST,66
Charlis Ortiz,Venezuela,ST,66
Peter Ouaneh,France,CB,66
Aziz Ouattara,Côte d'Ivoire,CDM,66
Shady Oukhadda,Morocco,RB,66
Alpaslan Öztürk,Turkey,CB,66
Marlon Pack,England,CDM,66
Manuel Palacios,Colombia,RW,66
Cole Palmer,England,CAM,66
Radovan Pankov,Serbia,CB,66
Alexandru Pantea,Romania,RB,66
Sotirios Papagiannopoulos,Sweden,CB,66
Jayson Papeau,France,LW,66
Merveille Papela,Germany,CM,66
Park Soo Il,Korea Republic,RB,66
Álex Pastor,Spain,CB,66
Nicola Pavan,Italy,CM,66
Nehuén Paz,Argentina,CB,66
Daouda Peeters,Belgium,CDM,66
Mauro Peinipil,Argentina,RB,66
Théo Pellenard,France,CB,66
Lee Peltier,England,CB,66
Pietro Perdichizzi,Belgium,CB,66
Andrés Perea,United States,CDM,66
Luis Perea,Spain,CDM,66
Daniel Pereira,Venezuela,CDM,66
Panutche Camará,Guinea-Bissau,CM,66
Matheus Pereira,Brazil,LB,66
João Queirós,Portugal,CB,66
Nuno Reis,Portugal,CB,66
Rodrigo Pérez,Uruguay,CM,66
Kevin Pérez,Colombia,CAM,66
Maximiliano Perg,Uruguay,CB,66
Manuel Pfeifer,Austria,LB,66
Romain Philippoteaux,France,LW,66
Killian Phillips,Republic of Ireland,CM,66
Carl Piergianni,England,CB,66
Kik Pierie,Holland,CB,66
Shaquille Pinas,Suriname,CB,66
Lenny Pintor,France,LM,66
Alexi Pitu,Romania,LW,66
Júnior Pius,Nigeria,CB,66
Thomas Pledl,Germany,RM,66
Ole Pohlmann,Germany,CM,66
Ernest Poku,Holland,LW,66
Ovidiu Popescu,Romania,CDM,66
Alvas Powell,Jamaica,RB,66
Mateusz Praszelik,Poland,CF,66
Nik Prelec,Slovenia,ST,66
Christophe Psyché,France,CB,66
Miguel Puche,Spain,LM,66
Afimico Pululu,Angola,LM,66
Qian Jiegei,China PR,CDM,66
Giacomo Quagliata,Italy,LWB,66
Daniel Queipo,Spain,LM,66
Diogo Queirós,Portugal,CB,66
Yuber Quiñones,Colombia,LM,66
Yeferson Quintana,Uruguay,CB,66
Joel Quintero,Ecuador,CB,66
Franco Quinteros,Argentina,LB,66
Aarón Quirós,Argentina,CB,66
Sean Raggett,England,CB,66
Marko Raguž,Austria,ST,66
Michał Rakoczy,Poland,CF,66
Rubén Ramírez,Venezuela,CB,66
Adam Randell,England,CM,66
Cornel Râpă,Romania,RWB,66
Damian Rasak,Poland,CDM,66
Christiaan Ravych,Belgium,CB,66
Djorkaeff Reasco,Ecuador,ST,66
Youri Regeer,Holland,RB,66
Edisson Restrepo,Colombia,CB,66
Taylor Richards,England,CAM,66
Tim Rieder,Germany,CDM,66
Søren Rieks,Denmark,LM,66
Roope Riski,Finland,ST,66
Lars Ritzka,Germany,LWB,66
José Rivera,Peru,LW,66
Daniel Rivillo,Venezuela,RB,66
Matías Rocha,Uruguay,CB,66
Ribair Rodríguez,Uruguay,CDM,66
Axel Rodríguez,Argentina,ST,66
Ignacio Rodríguez,Uruguay,CB,66
Pablo Rodríguez,Spain,CF,66
Rayco,Spain,RM,66
Víctor Rodríguez,Spain,LM,66
Miguel Rodríguez,Spain,RM,66
Samuel Rogers,United States,CB,66
Filip Rogić,Sweden,CM,66
Ante Roguljić,Croatia,CAM,66
Daniel Rojas,Bolivia,CM,66
Juan Diego Rojas,Ecuador,RM,66
Ole Romeny,Holland,LW,66
Ruben Roosken,Holland,LB,66
Siro Rosane,Argentina,CDM,66
Guille Rosas,Spain,RB,66
Max Rosenfelder,Germany,CB,66
Mathias Ross,Denmark,CB,66
Matheus Rossetto,Brazil,CM,66
Leândro,Brazil,RM,66
Alexander Rossipal,Germany,LWB,66
Baptiste Roux,France,CB,66
Jonathan Rowe,England,LM,66
Pirulo,Spain,RM,66
Milan Rundić,Serbia,CB,66
Elias Saad,Tunisia,LM,66
Alexis Sabella,Argentina,LW,66
Noah Sadaoui,Morocco,LM,66
Görkem Sağlam,Turkey,CAM,66
Semih Sahin,Germany,CDM,66
Cris Salvador,Spain,CM,66
Lars-Jørgen Salvesen,Norway,ST,66
Tobias Sana,Sweden,LW,66
Alvyn Sanches,Switzerland,CM,66
Erwin Junior Sánchez,Bolivia,CAM,66
Diego Sánchez,Spain,LB,66
Simon Sandberg,Sweden,RB,66
Marco Sangalli,Spain,RM,66
Pedro Amador,Portugal,LB,66
Vinko Sapina,Germany,CM,66
CJ Sapong,United States,ST,66
Marco Saravia,Peru,CB,66
Killian Sardella,Belgium,RB,66
Mamadou Sarr,France,CB,66
Gökhan Sazdağı,Turkey,LM,66
Liam Scales,Republic of Ireland,CB,66
Raphael Schifferl,Austria,CB,66
Patrick Schmidt,Germany,ST,66
Augusto Schott,Argentina,RB,66
Tobias Schröck,Germany,CB,66
Morris Schröter,Germany,RM,66
Luca Schuler,Germany,ST,66
Michael Schultz,Germany,CB,66
Markus Schwabl,Germany,RB,66
Petr Schwarz,Czech Republic,CM,66
Iker Seguín,Spain,LB,66
Matthias Seidl,Austria,CAM,66
Václav Sejk,Czech Republic,ST,66
Seo Young Jae,Korea Republic,LWB,66
Cemali Sertel,Turkey,LB,66
Nicolás Servetto,Argentina,ST,66
Yoan Severin,France,CB,66
Jacob Shaffelburg,Canada,LM,66
Liam Shaw,England,CM,66
Jordan Shipley,Republic of Ireland,LWB,66
Nicklas Shipnoski,Germany,RM,66
Ilya Shkurin,Belarus,ST,66
Raz Shlomo,Israel,CB,66
Armindo Sieb,Germany,ST,66
Nicholas Siega,Italy,CM,66
Rúnar Már Sigurjónsson,Iceland,CM,66
Denis Simani,Albania,CB,66
Scott Sinclair,England,RW,66
José Luis Sinisterra,Colombia,LM,66
Olaus Jair Skarsem,Norway,CM,66
Ari Skúlason,Iceland,CDM,66
Naatan Skyttä,Finland,CAM,66
Korey Smith,England,CDM,66
Sam Smith,England,ST,66
Kyle Smith,United States,RB,66
Franco Soldano,Argentina,ST,66
Edoardo Soleri,Italy,ST,66
Matteo Solini,Italy,CB,66
Adam Sørensen,Denmark,LB,66
Joaquín Sosa,Uruguay,CB,66
Sambou Soumano,Senegal,ST,66
Lucas Souto,Argentina,RB,66
Gianni Stensness,Australia,CB,66
Patryk Stępiński,Poland,RB,66
Basil Stillhart,Switzerland,CB,66
Finn Stokkers,Holland,ST,66
Petter Strand,Norway,CM,66
John-Patrick Strauß,Philippines,RWB,66
Jared Stroud,United States,LM,66
Nikola Štulić,Serbia,ST,66
Yeison Suárez,Colombia,CB,66
Anssi Suhonen,Finland,CAM,66
Toichi Suzuki,Japan,LB,66
Svensson,Spain,ST,66
Habib Sylla,Côte d'Ivoire,RB,66
Eddy Sylvestre,France,CM,66
Filip Szymczak,Poland,ST,66
Edvard Sandvik Tagseth,Norway,LB,66
Tang Xin,China PR,RWB,66
Dylan Tavares,Cape Verde Islands,LWB,66
Duplexe Tchamba,Cameroon,CB,66
Loum Tchaouna,France,RM,66
Allan Tchaptchet,France,CB,66
Tonio Teklić,Croatia,CAM,66
Miro Tenho,Finland,CB,66
Nigel Thomas,Holland,LW,66
Stefán Teitur Thórdarson,Iceland,CM,66
Angus Thurgate,Australia,CDM,66
Alex Timossi Andersson,Sweden,RM,66
Simy,Nigeria,ST,66
Agustín Toledo,Argentina,CDM,66
Grzegorz Tomasiewicz,Poland,CDM,66
Silvio Torales,Paraguay,CM,66
Claudio Torrejón,United States,CDM,66
Saúl Torres,Bolivia,RB,66
Jairo Torres,Mexico,CM,66
Hussayn Touati,Algeria,LW,66
Omar Haktab Traoré,Germany,RB,66
Borislav Tsonev,Bulgaria,CM,66
Blair Turgott,Jamaica,ST,66
Oscar Uddenäs,Sweden,RM,66
Daniel Udoh,Nigeria,ST,66
Maximiliano Urruti,Argentina,ST,66
Edgaras Utkus,Lithuania,CB,66
Kener Valencia,Colombia,ST,66
Joaquín Valiente,Uruguay,LW,66
Borja Valle,Spain,ST,66
Hugo Vallejo,Spain,LM,66
Dario Van den Buijs,Belgium,CB,66
Jasper van der Werff,Switzerland,CB,66
Alec Van Hoorenbeeck,Belgium,LB,66
Rajiv van La Parra,Holland,LW,66
Yoëll van Nieff,Holland,CDM,66
Éric Vandenabeele,France,CB,66
Lisandro Semedo,Cape Verde Islands,RM,66
Ricardinho,Portugal,RB,66
Víctor Vázquez,Spain,CAM,66
Edison Vega,Ecuador,CDM,66
Marcelo Lopes,Cape Verde Islands,RM,66
Josh Vela,England,CM,66
Odysseus Velanas,Holland,CAM,66
Diego Vera,Uruguay,ST,66
Nikolas Veratschnig,Austria,RWB,66
Luca Verna,Italy,CM,66
Frédéric Veseli,Albania,CB,66
Viljar Helland Vevatne,Norway,CB,66
Luca Vido,Italy,ST,66
Gabriel Vidović,Croatia,LM,66
Luís Machado,Portugal,LM,66
Andrés Vilches,Chile,ST,66
Oscar Vilhelmsson,Sweden,ST,66
Christophe Vincent,France,CM,66
Kévin Vinetot,France,CB,66
Ștefan Vlădoiu,Romania,RB,66
Ilija Vukotić,Montenegro,CM,66
Ibrahima Wadji,Senegal,ST,66
Robert Wagner,Germany,CM,66
Lachlan Wales,Australia,RM,66
Wang Jinxian,China PR,LM,66
Wang Shenchao,China PR,RB,66
Wang Tong,China PR,RB,66
Conor Washington,Northern Ireland,ST,66
Elliot Watt,Scotland,CDM,66
Mateusz Wdowiak,Poland,CF,66
Marcel Wędrychowski,Poland,RM,66
Nelson Weiper,Germany,ST,66
Jensen Weir,England,CM,66
Morgan Whittaker,England,RM,66
Danilo Wiebe,Germany,CB,66
Kamil Wilczek,Poland,ST,66
Mallik Wilks,England,ST,66
Paul Will,Germany,CDM,66
Derrick Williams,Republic of Ireland,CB,66
Josh Williams,United States,CB,66
Kane Wilson,England,RWB,66
Bobby Wood,United States,ST,66
Richard Wood,England,CB,66
Ben Woodburn,Wales,CAM,66
Lucas Woudenberg,Holland,LB,66
Callum Wright,England,CM,66
Matthéo Xantippe,France,LB,66
Pape Ndiaga Yade,Senegal,LM,66
Zeki Yavru,Turkey,RB,66
Dru Yearwood,England,CM,66
Yaw Yeboah,Ghana,LM,66
Emmanuel Yeboah,Ghana,RM,66
Yeon Je Woon,Korea Republic,CB,66
Aygün Yıldırım,Germany,RM,66
Yin Hongbo,China PR,RM,66
Daisuke Yokota,Japan,RM,66
Isaiah Young,United States,LM,66
Nicolás Zalazar,Argentina,CB,66
Maximiliano Zalazar,Argentina,LM,66
Žan Zaletel,Slovenia,CB,66
Edgar Zaracho,Paraguay,CM,66
Mattia Zennaro,Italy,CM,66
Zhong Yihao,China PR,LM,66
Leonard Zuta,North Macedonia,LWB,66
Joël Zwarts,Holland,ST,66
Matías Abaldo,Uruguay,RW,65
Hakim Abdallah,Madagascar,ST,65
Fabio Abiuso,Italy,ST,65
Mo Adams,England,CDM,65
Jacob Adebanjo,Nigeria,CB,65
Harrison Afful,Ghana,RB,65
Daniel Afriyie,Ghana,LM,65
Adnan Aganović,Croatia,CM,65
David Ajiboye,England,RM,65
Nasser Al Dawsari,Saudi Arabia,LB,65
Mohammed Al Fatil,Saudi Arabia,CB,65
Hamadi Al Ghaddioui,Germany,ST,65
Khalid Al Ghannam,Saudi Arabia,LM,65
Rami Al Hajj,Sweden,CAM,65
Saeed Al Rubaie,Saudi Arabia,CB,65
Ahmed Al Zain,Saudi Arabia,RW,65
Amir Al-Ammari,Iraq,CM,65
Mads Albæk,Denmark,CM,65
Raúl Albentosa,Spain,CB,65
Christian Alemán,Ecuador,CAM,65
Migouel Alfarela,France,ST,65
Kerim Alıcı,Turkey,RB,65
Isnik Alimi,North Macedonia,CM,65
Sandro Altunashvili,Georgia,CM,65
Sone Aluko,Nigeria,CAM,65
Rodrigo Amarilla,Paraguay,RM,65
Youssef Amyn,Germany,LW,65
Hugo Ancajima,Peru,RWB,65
Nilson Angulo,Ecuador,CAM,65
Marco Antonio Angulo,Ecuador,CDM,65
Luis Annese,Venezuela,ST,65
Kent-Are Antonsen,Norway,CM,65
Alexis Antunes,Switzerland,CM,65
Julien Anziani,France,CM,65
Aias Aosman,Syria,CF,65
Arambarri,Spain,CB,65
Jon Aramburu,Venezuela,RB,65
Arana,Spain,ST,65
Gabriel Aranda,Argentina,CB,65
Vitó,Portugal,CM,65
Musa Araz,Switzerland,CM,65
Juan Carlos Arce,Bolivia,CAM,65
Teodoro Arce,Paraguay,RM,65
Theo Archibald,Scotland,RM,65
Taïryk Arconte,France,ST,65
Daniel Arzani,Australia,LM,65
Jasin Assehnoun,Finland,LM,65
Isaac Atanga,Ghana,LM,65
Avilés,Spain,RM,65
Oğuz Aydın,Turkey,LM,65
Jonah Ayunga,Kenya,ST,65
Femi Azeez,England,RM,65
Pedrinho,Brazil,LB,65
Adriel Ba Loua,Côte d'Ivoire,RM,65
Youri Baas,Holland,LB,65
Khouma Babacar,Senegal,ST,65
Kearyn Baccus,Australia,CDM,65
William Baeten,Belgium,RM,65
Thibo Baeten,Belgium,ST,65
Jean-Mattéo Bahoya,France,CAM,65
Bak Jae Yong,Korea Republic,ST,65
Marvin Bakalorz,Germany,CDM,65
Zakaria Bakkali,Belgium,LM,65
Enrico Baldini,Italy,ST,65
Husein Balić,Austria,ST,65
Tiago Banega,Argentina,CM,65
Johan Bångsbo,Sweden,CB,65
Sacha Banse,Burkina Faso,CDM,65
Tom Barkhuizen,England,LM,65
Orlando Barreto,Paraguay,CB,65
Connor Barron,Scotland,CM,65
Cristian Barros,Uruguay,RM,65
Jakub Bartkowski,Poland,RWB,65
Felix Bastians,Germany,LB,65
Romain Bayard,France,CM,65
Emin Bayram,Turkey,CB,65
Tanner Beason,United States,CB,65
Omar Beckles,Grenada,CB,65
Steven Beitashour,Iran,RB,65
Łukasz Bejger,Poland,CB,65
Semi Belkahia,Germany,CB,65
Yassin Ben Balla,France,CDM,65
Ayman Ben Mohamed,Tunisia,LB,65
Alexandru Benga,Romania,CB,65
Ángel Benítez,Paraguay,CDM,65
Bryan Bentaberry,Uruguay,CB,65
Ron Berlinski,Germany,ST,65
Miguel Berry,Spain,ST,65
Vicente Besuijen,Holland,CAM,65
Davide Bettella,Italy,CB,65
Alessandro Bianco,Italy,CM,65
Ovidiu Bic,Romania,CDM,65
Luis Bilbao,Spain,LM,65
Kristian Bilovar,Ukraine,CB,65
Daniel Bîrligea,Romania,ST,65
Alexander Bittroff,Germany,CB,65
Andreas Bjelland,Denmark,CB,65
Morten Bjørlo,Norway,CM,65
Axel Björnström,Sweden,LB,65
Tyler Blackett,England,CB,65
Nicolás Blandi,Argentina,ST,65
Ole Didrik Blomberg,Norway,RW,65
Emmanuel Boateng,Ghana,CM,65
Damián Bobadilla,Paraguay,CM,65
Matija Boben,Slovenia,CB,65
Radu Boboc,Romania,RB,65
Éric Bocat,France,LWB,65
Lukas Boeder,Germany,CB,65
Melayro Bogarde,Holland,CB,65
Luka Bogdan,Croatia,CB,65
Agustín Bolivar,Argentina,CDM,65
Luke Bolton,England,RM,65
Elliot Bonds,Guyana,CDM,65
Nicholas Bonfanti,Italy,ST,65
Facundo Bonifazi,Uruguay,LB,65
Mihai Bordeianu,Romania,CDM,65
Léo Borges,Brazil,LB,65
Tobias Børkeeiet,Norway,CDM,65
Dylan Borrero,Colombia,LM,65
Frederik Børsting,Denmark,RW,65
Abdelrahman Boudah,Sweden,LW,65
Nassim Boujellab,Morocco,CAM,65
Ibane Bowat,Scotland,CB,65
