Name,Nation,Club,Position,Age,Overall
Mathias Fixelles,Belgium,KVC Westerlo,CDM,27,67
Jón Guðni Fjóluson,Iceland,Hammarby IF,CB,34,67
Ashley Fletcher,England,Sheffield Wed,ST,28,67
Agustín Fontana,Argentina,Sarmiento,ST,27,67
Alessandro Fontanarosa,Italy,Cosenza,CB,20,67
Tyrese Fornah,England,Derby County,CM,24,67
Chris Forrester,Republic of Ireland,St. Pats,CM,30,67
Amankwah Forson,Ghana,RB Salzburg,RM,20,67
Iván Franco,Paraguay,Houston Dynamo,RM,23,67
Franquesa,Spain,CD Leganés,LB,26,67
Gonzalo Freitas,Uruguay,Defensor,CDM,32,67
Martin Frese,Denmark,FC Nordsjælland,LB,25,67
Per Frick,Sweden,IF Elfsborg,ST,31,67
Mads Frøkjær-Jensen,Denmark,Preston,CAM,24,67
Aldair Fuentes,Peru,UCV,CDM,25,67
Michael Fuentes Vadulli,Chile,Audax Italiano,LW,25,67
Aidi Fulangxisi,China PR,Shanghai Shenhua,LB,32,67
Matías Galarza,Argentina,KRC Genk,CDM,21,67
Nahuel Gallardo,Argentina,Sarmiento,LB,25,67
Esli García,Venezuela,Dep. Táchira,LW,23,67
Bryan García,Ecuador,Independiente DV,CAM,22,67
Pablo García,Uruguay,River Plate,RM,24,67
Espen Bjørnsen Garnås,Norway,Lillestrøm SK,CB,28,67
Luis Garro,Peru,Cienciano,RB,27,67
Ben Garuccio,Australia,Western United,LB,28,67
Pep Gayà,Spain,SD Amorebieta,CB,23,67
Garland Gbellé,France,Quevilly Rouen,CM,30,67
Yann Gboho,France,Cercle Brugge,CF,22,67
Christian Gebauer,Austria,SCR Altach,RM,29,67
Andreas Geipl,Germany,Jahn Regensburg,CDM,31,67
Francisco Gerometta,Argentina,Unión,RWB,24,67
Krystian Getinger,Poland,Stal Mielec,LWB,35,67
Virgil Ghiță,Romania,Cracovia,CB,25,67
Liam Gibbs,England,Norwich,CM,20,67
Armin Gigović,Sweden,FC Midtjylland,CM,21,67
Brayan Gil,El Salvador,Deportes Tolima,ST,22,67
Kosmas Gkezos,Greece,Austria Klagenfurt,CB,31,67
Dave Gnaase,Germany,VfL Osnabrück,CDM,26,67
Marcos Gómez,Paraguay,Olimpia,CM,21,67
Paulo Bernardo,Portugal,Celtic,CM,21,67
Wilmar González,Colombia,Puerto Cabello,RM,29,67
Ramiro González,Argentina,Colo-Colo,CB,32,67
Leonel González,Argentina,Argentinos Jrs.,CB,29,67
Óscar González,Venezuela,Monagas SC,LB,31,67
Cristo González,Spain,Arouca,ST,25,67
Charlie Goode,England,Brentford,CB,28,67
Thijmen Goppel,Holland,Wehen Wiesbaden,RM,26,67
Kenzo Goudmijn,Holland,AZ,CAM,21,67
Jordan Graham,England,Leyton Orient,RM,28,67
José Luis Granados,Venezuela,Puerto Cabello,LB,36,67
Jorge Grant,England,Hearts,CAM,28,67
Simon Graves,Denmark,Palermo,CB,24,67
Lee Gregory,England,Sheffield Wed,ST,35,67
Patrick Greil,Austria,SK Rapid Wien,CAM,27,67
Leo Greiml,Austria,FC Schalke 04,CB,22,67
Mathias Greve,Denmark,Brøndby IF,CM,28,67
Lukas Grgic,Austria,SK Rapid Wien,CDM,28,67
Magnus Retsius Grødem,Norway,Molde FK,CAM,25,67
Pape Habib Gueye,Senegal,Aberdeen,ST,24,67
Makhtar Gueye,Senegal,RWD Molenbeek,ST,25,67
Germán Guiffrey,Argentina,Gimnasia,CB,25,67
Daouda Guindo,Mali,RB Salzburg,LB,20,67
Leon Guwara,Gambia,FC Ingolstadt 04,LWB,27,67
Anders Hagelskjær,Denmark,Molde FK,CB,26,67
Elias K. Hagen,Norway,Vålerenga Fotball,CM,23,67
Tibor Halilović,Croatia,Dinamo Zagreb,CAM,28,67
Grant Hall,England,Rotherham Utd,CB,31,67
Pierre-Yves Hamel,France,Paris FC,ST,29,67
Vito Hammershøy-Mistrati,Denmark,IFK Norrköping,CAM,31,67
Saïd Hamulić,Bosnia and Herzegovina,Vitesse,ST,22,67
Matěj Hanousek,Czech Republic,MKE Ankaragücü,LWB,30,67
Wes Harding,Jamaica,Millwall,CB,26,67
Peter Haring,Austria,Hearts,CDM,30,67
Kento Hashimoto,Japan,SD Huesca,CM,30,67
Niklas Hauptmann,Germany,Dynamo Dresden,CM,27,67
Jonny Hayes,Republic of Ireland,Aberdeen,LB,36,67
Bryan Henning,Germany,Viktoria Köln,CM,28,67
Nelson Hernández,Venezuela,Dep. Táchira,RB,31,67
Diego Armando Hernández,Colombia,Dep. Pereira,CB,23,67
Hector Hevel,Holland,FC Cartagena,CM,27,67
George Hirst,England,Ipswich,ST,24,67
Ki-Jana Hoever,Holland,Stoke City,RB,21,67
Jonathan Hogg,England,Huddersfield,CDM,34,67
James Holland,Australia,FK Austria Wien,CDM,34,67
Tom Holmes,England,Reading,CB,23,67
Jordan Holsgrove,Scotland,Estoril Praia,CM,24,67
Santiago Homenchenko,Uruguay,Peñarol,CM,20,67
Hong Jeong Un,Korea Republic,Daegu FC,CB,28,67
Matthew Hoppe,United States,SJ Earthquakes,ST,22,67
Sam Hoskins,England,Northampton,LM,30,67
Andi Hoti,Kosovo,1. FC Magdeburg,CB,20,67
Joseph Hungbo,England,1. FC Nürnberg,RW,23,67
James Husband,England,Blackpool,LB,29,67
Sam Hutchinson,England,Reading,CB,34,67
Alex Ibacache,Chile,Belgrano,LB,24,67
Pablo Ibáñez,Spain,CA Osasuna,CM,25,67
Adam Idah,Republic of Ireland,Norwich,ST,22,67
Blendi Idrizi,Kosovo,FC Schalke 04,CAM,25,67
Jay Idzes,Holland,Venezia,CB,23,67
Gino Infantino,Argentina,Fiorentina,RW,20,67
Roberto Inglese,Italy,Parma,ST,31,67
Rodrigo Insua,Argentina,Barracas Central,LB,25,67
Alexandru Ioniță,Romania,FC Rapid 1923,LW,28,67
Dominic Iorfa,England,Sheffield Wed,CB,28,67
Tim Iroegbunam,England,Aston Villa,CDM,20,67
Galego,Brazil,Gangwon FC,LW,26,67
Marko Ivezić,Serbia,Holstein Kiel,CDM,21,67
Diego Moreira,Portugal,OL,LM,19,67
Thore Jacobsen,Germany,SV Elversberg,CDM,26,67
Miguel Jacquet,Paraguay,Platense,CB,28,67
Laurent Jans,Luxembourg,SV Waldhof,RB,31,67
Wolke Janssens,Belgium,STVV,CB,28,67
Nicolas Janvier,France,Alanyaspor,CM,25,67
Renny Jaramillo,Ecuador,Delfín S.C.,CDM,25,67
Fredrik Oldrup Jensen,Norway,Vålerenga Fotball,CDM,30,67
Jeong Seung Won,Korea Republic,Suwon Samsung,RWB,26,67
Ji Xiang,China PR,Shandong Taishan,RB,33,67
Jo Jin Woo,Korea Republic,Daegu FC,CB,23,67
Ísak Bergmann Jóhannesson,Iceland,Düsseldorf,CM,20,67
Carl Johansson,Sweden,Holstein Kiel,CB,29,67
George Johnston,Scotland,Bolton,CB,25,67
Paul Joly,France,AJ Auxerre,RB,23,67
Thomas Jones,Chile,Club Magallanes,RW,26,67
Cristóbal Jorquera,Chile,Club Magallanes,CAM,35,67
Daniel Eduardo Juárez,Argentina,Unión,LM,22,67
Gideon Jung,Germany,Fürth,CB,29,67
Markus Kaasa,Norway,Molde FK,CM,26,67
Vladyslav Kabaev,Ukraine,Dynamo Kyiv,LM,28,67
Eric Kahl,Sweden,AGF,LWB,22,67
Tobias Kainz,Austria,TSV Hartberg,CDM,30,67
Mattias Käit,Estonia,FC Rapid 1923,CM,25,67
Osman Kakay,Sierra Leone,QPR,RB,26,67
Ola Kamara,Norway,BK Häcken,ST,33,67
Alhaji Kamara,Sierra Leone,Randers FC,ST,29,67
Dijon Kameri,Austria,RB Salzburg,CAM,19,67
Marco Kana,Belgium,KV Kortrijk,CB,21,67
Ahmetcan Kaplan,Turkey,Ajax,CB,20,67
Ali Karimi,Iran,Kayserispor,CM,29,67
Karrikaburu,Spain,D. Alavés,ST,21,67
Fabio Kaufmann,Germany,Braunschweig,RW,31,67
Naoufel Khacef,Algeria,Gaziantep,LB,25,67
Facundo Kidd,Uruguay,River Plate,LB,26,67
David Kiki,Benin,Farul Constanța,LB,29,67
Kim Seung Dae,Korea Republic,Pohang Steelers,RM,32,67
Kim Bo Sub,Korea Republic,Incheon United,RW,25,67
Kim Joo Won,Korea Republic,Suwon Samsung,CB,32,67
Andy King,Wales,Bristol City,CM,34,67
Liam Kitching,England,Coventry City,CB,24,67
Anders Klynge,Denmark,Silkeborg IF,CM,22,67
Anthony Knockaert,France,Valenciennes FC,RM,31,67
Vladyslav Kochergin,Ukraine,Raków,CM,27,67
Giorgi Kochorashvili,Georgia,Levante UD,CDM,24,67
Sven Köhler,Germany,Odense BK,CM,26,67
Aboubakary Koita,Belgium,STVV,LWB,25,67
Karim Konaté,Côte d'Ivoire,RB Salzburg,ST,19,67
Youssouf Koné,Mali,RWD Molenbeek,LB,28,67
Ismaël Koné,Canada,Watford,CM,21,67
Bartosz Kopacz,Poland,Zagłębie Lubin,CB,31,67
Eboue Kouassi,Côte d'Ivoire,Arouca,CDM,25,67
Christos Kourfalidis,Greece,Feralpisalò,CM,20,67
Niklas Kreuzer,Germany,Hallescher FC,RB,30,67
Ruben Kristiansen,Norway,SK Brann,LB,35,67
Mirlind Kryeziu,Kosovo,FC Zürich,CB,26,67
Yuya Kubo,Japan,FC Cincinnati,CM,29,67
Christian Kühlwetter,Germany,Heidenheim,ST,27,67
Stjepan Kukuruzović,Croatia,Lausanne-Sport,CM,34,67
Hasan Kuruçay,Turkey,Braunschweig,CB,26,67
Nika Kvekveskiri,Georgia,Lech Poznań,CDM,31,67
Antonino La Gumina,Italy,Sampdoria,ST,27,67
Andrea La Mantia,Italy,Feralpisalò,ST,32,67
Matías Laba,Argentina,Barracas Central,CDM,31,67
Darryl Lachman,Curaçao,Perth Glory,CB,33,67
Léo Lacroix,Switzerland,FCU 1948,CB,31,67
Tomás Esteves,Portugal,Pisa,RB,21,67
Mayckel Lahdo,Sweden,AZ,RW,20,67
Ali Lajami,Saudi Arabia,Al Nassr,CB,27,67
Łukasz Łakomy,Poland,BSC Young Boys,CDM,22,67
Thomas Lam,Finland,PEC Zwolle,CB,29,67
Anthony Landázuri,Ecuador,Independiente DV,CB,26,67
Hugo Larsson,Sweden,Frankfurt,CM,19,67
Lasure,Spain,SD Amorebieta,LB,29,67
Lion Lauberbach,Germany,KV Mechelen,ST,25,67
Frederik Lauenborg,Denmark,Randers FC,CM,26,67
Shayne Lavery,Northern Ireland,Blackpool,ST,24,67
Jordan Lawrence-Gabriel,England,Blackpool,RB,25,67
Richard Ledezma,United States,New York City FC,CAM,23,67
Lee Soon Min,Korea Republic,GwangJu FC,CM,29,67
Lee Gwang Hyeok,Korea Republic,Suwon FC,RM,28,67
Lee Tae Suk,Korea Republic,FC Seoul,LB,21,67
Tom Lees,England,Huddersfield,CB,32,67
Nicolás Leguizamón,Argentina,Central Córdoba,ST,28,67
Aníbal Leguizamón,Argentina,CS Emelec,CB,31,67
Mario Leitgeb,Austria,Wolfsberger AC,CDM,35,67
Li Shuai,China PR,Shanghai Port,LB,28,67
Nick Lima,United States,Austin FC,RB,28,67
Gift Links,South Africa,AGF,LWB,25,67
Jesper Löfgren,Sweden,Brommapojkarna,CB,26,67
Felix Lohkemper,Germany,1. FC Nürnberg,ST,28,67
Jason Lokilo,Congo DR,Hull City,RW,25,67
Danijel Lončar,Croatia,Pogoń Szczecin,CB,26,67
Noah Loosli,Switzerland,VfL Bochum,CB,26,67
Marc Lorenz,Germany,Preußen Münster,LM,35,67
Anderson Lucoqui,Angola,Hertha Berlin,LB,26,67
Karlo Lulić,Croatia,Frosinone,CM,27,67
Valdemar Lund,Denmark,F.C. København,CB,20,67
Ramon Pascal Lundqvist,Sweden,Sarpsborg 08,CAM,26,67
Larrys Mabiala,Congo DR,Portland Timbers,CB,36,67
Angus MacDonald,England,Aberdeen,CB,30,67
Zinédine Machach,France,Melb. Victory,CAM,27,67
Leandro Maciel,Argentina,Central Córdoba,CM,27,67
Abdullah Madu,Saudi Arabia,Al Nassr,CB,30,67
Cassius Mailula,South Africa,Toronto FC,CAM,22,67
Jordy Makengo,France,SC Freiburg,LB,22,67
Charalambos Makridis,Germany,VfL Osnabrück,LW,27,67
Nikola Maksimović,Serbia,Hatayspor,CB,31,67
Julián Malatini,Argentina,Defensa,RB,22,67
Felix Mambimbi,Switzerland,FC St. Gallen,LM,22,67
Harrinson Mancilla,Colombia,Sarmiento,CDM,31,67
Alasana Manneh,Gambia,Odense BK,CM,25,67
Filip Marchwiński,Poland,Lech Poznań,CAM,21,67
Ivan Marconi,Italy,Palermo,CB,33,67
Antonio Marin,Croatia,Dinamo Zagreb,CAM,22,67
Marius Marin,Romania,Pisa,CM,25,67
Jovan Marković,Romania,Univ. Craiova,ST,22,67
Gonzalo Maroni,Argentina,San Lorenzo,CAM,24,67
Alejandro Marqués,Venezuela,Estoril Praia,ST,23,67
Artur Jorge,Portugal,Farense,CB,29,67
José Marrufo,Venezuela,Dep. Táchira,CB,27,67
Teto,Spain,CD Tenerife,RM,22,67
Ramón Martínez,Paraguay,Olimpia,CDM,27,67
Homer Martínez,Colombia,Junior,CDM,26,67
José Marsà,Spain,FC Andorra,CB,21,67
Dominik Martinović,Croatia,SV Elversberg,ST,26,67
Matheus Martins,Brazil,Watford,RM,20,67
Benny Sousa,Portugal,GD Chaves,RW,23,67
Jan Hendrik Marx,Germany,Braunschweig,RWB,28,67
Ephron Mason-Clark,England,Peterborough,LM,24,67
Julien Masson,France,Valenciennes FC,CDM,25,67
Mateusz Matras,Poland,Stal Mielec,CB,32,67
Yusuke Matsuo,Japan,KVC Westerlo,ST,26,67
Magnus Mattsson,Denmark,N.E.C. Nijmegen,CAM,24,67
Danny Mayor,England,Fleetwood Town,LM,32,67
Loïc Mbe Soh,France,Almere City FC,CB,22,67
Nolan Mbemba,Congo DR,Havre AC,CM,28,67
Moustapha Mbow,Senegal,Paris FC,CB,23,67
Ryan McGowan,Australia,St. Johnstone,CB,34,67
Zac McGraw,Canada,Portland Timbers,CB,26,67
Tom McIntyre,Scotland,Reading,CB,24,67
Agus Medina,Spain,Albacete BP,CDM,29,67
Anis Mehmeti,Albania,Bristol City,LW,22,67
Matteo Meisl,Austria,FK Austria Wien,CB,22,67
Filippo Melegoni,Italy,Reggiana,CM,24,67
Carlos Mendes Gomes,Spain,Bolton,LM,24,67
Joelson Fernandes,Portugal,Hatayspor,RM,20,67
Mauro Méndez,Uruguay,Estudiantes,ST,24,67
Hamza Mendyl,Morocco,OH Leuven,LB,25,67
Teden Mengi,England,Luton Town,CB,21,67
Francisco Mera,Ecuador,Dep. Cuenca,CM,31,67
Umut Meraş,Turkey,Beşiktaş,LB,27,67
Levent Mercan,Turkey,Karagümrük SK,LB,22,67
Connor Metcalfe,Australia,FC St. Pauli,RM,23,67
Senna Miangue,Belgium,Cercle Brugge,LB,26,67
Alex Millán,Spain,R. Oviedo,ST,23,67
Arturo Mina,Ecuador,Palmaflor,CB,33,67
Ming Tian,China PR,Tianjin JMT FC,RB,28,67
Demetri Mitchell,England,Exeter City,LWB,26,67
Marco Modolo,Italy,Venezia,CB,34,67
Rafinha,Brazil,Blooming,CAM,31,67
Andrés Montero,Venezuela,Puerto Cabello,RM,29,67
Manuel Monzeglio,Uruguay,Nacional,CAM,22,67
Elliott Moore,England,Oxford United,CB,26,67
Erik Morán,Spain,SD Amorebieta,CDM,32,67
Giotto Morandi,Switzerland,Grasshopper Club,ST,24,67
Diego Moreno,Colombia,Indep. Medellín,CDM,27,67
Diego Moreno,Spain,CD Mirandés,RB,22,67
Stefano Moreyra,Argentina,Colón,CDM,22,67
Luca Moro,Italy,Spezia,ST,22,67
Joe Morrell,Wales,Portsmouth,CM,26,67
Sean Morrison,England,Rotherham Utd,CB,32,67
Edwin Mosquera,Colombia,Atlanta United,LM,22,67
Faris Pemi Moumbagna,Cameroon,FK Bodø/Glimt,ST,23,67
Owen Moxon,England,Carlisle United,CM,25,67
Matías Moya,Argentina,Colo-Colo,LW,25,67
Rui Modesto,Portugal,AIK,RM,24,67
Alexander Mühling,Germany,SV Sandhausen,CM,31,67
Robert Mühren,Holland,FC Volendam,ST,34,67
Tobias Müller,Germany,SC Paderborn 07,CB,29,67
Jake Mulraney,Republic of Ireland,St. Pats,RW,27,67
Maurice Multhaup,Germany,Braunschweig,RW,26,67
Jorge Félix,Spain,Piast Gliwice,LM,32,67
Miki Muñoz,Spain,Burgos CF,CM,28,67
Juan Muñoz,Spain,Zagłębie Lubin,ST,27,67
Robert Murić,Croatia,Konyaspor,RW,27,67
Yonatan Murillo,Colombia,Binacional,CB,31,67
Jorge Murrugarra,Peru,Universitario,CDM,26,67
Ahmed Musa,Nigeria,Sivasspor,RM,30,67
Visar Musliu,North Macedonia,SC Paderborn 07,CB,28,67
Ibrahim Mustapha,Ghana,LASK,ST,23,67
Gerrit Nauber,Germany,Go Ahead Eagles,CB,31,67
Abdoulaye Ndiaye,Senegal,ESTAC Troyes,CB,21,67
Mor Ndiaye,Senegal,Estoril Praia,CDM,22,67
Dragoș Nedelcu,Romania,Farul Constanța,CDM,26,67
Cristian Neguț,Romania,FC Hermannstadt,RM,27,67
Curtis Nelson,England,Derby County,CB,30,67
Francisco Ramos,Portugal,Radomiak Radom,CM,28,67
Pierre-Yves Ngawa,Belgium,OH Leuven,CB,31,67
Siyabonga Ngezana,South Africa,FCSB,CB,26,67
Julien Ngoy,Belgium,Kasımpaşa,ST,25,67
Noel Niemann,Germany,VfL Osnabrück,RW,23,67
Juan Nieto,Colombia,Deportes Tolima,CM,30,67
Jarosław Niezgoda,Poland,Portland Timbers,ST,28,67
Branislav Niňaj,Slovakia,Sepsi OSK,CB,29,67
Dan Nistor,Romania,FC Univ. Cluj,CAM,35,67
Justin Njinmah,Germany,SV Werder Bremen,ST,22,67
Ygor Nogueira,Brazil,GD Chaves,CB,28,67
Jefferson,Brazil,FC Petrolul,CM,29,67
Sam Nombe,England,Rotherham Utd,ST,24,67
Simen Bolkan Nordli,Norway,Randers FC,LM,23,67
Marius Noubissi,Cameroon,Valenciennes FC,ST,26,67
Joel Nouble,England,Livingston,LW,27,67
Emmanuel Ntim,Ghana,SM Caen,CB,27,67
Cristian Núñez,Paraguay,Godoy Cruz,CDM,26,67
Ché Nunnely,Holland,sc Heerenveen,RM,24,67
Paudie O'Connor,Republic of Ireland,Lincoln City,CB,26,67
Cas Odenthal,Holland,Como,CB,23,67
Sandi Ogrinec,Slovenia,WSG Tirol,CAM,25,67
Noah Ohio,Holland,Standard Liège,ST,20,67
Shinji Okazaki,Japan,STVV,CAM,37,67
Jonathan Okita,Congo DR,FC Zürich,ST,27,67
Olasagasti,Spain,Real Sociedad,CM,23,67
Roberto Alves,Switzerland,Radomiak Radom,CM,26,67
Yuri Ribeiro,Portugal,Legia Warszawa,CB,26,67
Martin Olsson,Sweden,Malmö FF,LB,35,67
Raul Opruț,Romania,KV Kortrijk,LB,25,67
Christian Ordoñez,Argentina,Vélez Sarsfield,CDM,19,67
Gaetano Oristanio,Italy,Cagliari,CAM,21,67
Franco Orozco,Argentina,Lanús,LM,21,67
Marcelo Ortíz,Argentina,Atlético Tucumán,CB,29,67
Juanto Ortuño,Spain,CD Eldense,ST,31,67
Jordi Osei-Tutu,England,VfL Bochum,RM,25,67
Takuto Oshima,Japan,Cracovia,CM,25,67
Caner Osmanpaşa,Turkey,Sivasspor,CB,35,67
Philip Otele,Nigeria,CFR 1907 Cluj,LM,24,67
David Otto,Germany,SV Sandhausen,ST,24,67
Amine Oudrhiri,France,Rio Ave FC,CM,30,67
Samuel Oum Gouet,Cameroon,Yverdon Sport FC,CDM,25,67
Elisha Owusu,Ghana,AJ Auxerre,CDM,25,67
Godfried Ayesu Owusu Frimpong,Holland,Moreirense FC,LB,24,67
Braian Oyola,Argentina,Delfín S.C.,RM,27,67
Şener Özbayraklı,Turkey,Başakşehir,RB,33,67
Tobias Pachonik,Germany,Stabæk Fotball,RWB,28,67
Torge Paetow,Germany,SC Verl,CB,28,67
Simone Pafundi,Italy,Udinese,CAM,17,67
Matías Palacios,Argentina,Al Ain FC,CAM,21,67
Jhon Alexander Palacios,Colombia,Indep. Medellín,CB,24,67
Antonios Papadopoulos,Germany,Borussia Dortmund,CB,24,67
Giannis Papanikolaou,Greece,Raków,CM,24,67
Gaëtan Paquiez,France,Grenoble Foot 38,RB,29,67
Park Yong Woo,Korea Republic,Al Ain FC,CDM,30,67
Troy Parrott,Republic of Ireland,Excelsior,ST,21,67
Lóránd Pászka,Hungary,Ferencvárosi TC,LB,27,67
Bjørn Paulsen,Denmark,Odense BK,CB,32,67
Bartłomiej Pawłowski,Poland,Widzew Łódź,LM,30,67
Nicolás Paz,Argentina,Unión,CB,20,67
Aleksa Pejić,Serbia,SK Rapid Wien,CDM,24,67
Bryan Pelé,France,US Concarneau,RM,31,67
Matthew Pennington,England,Blackpool,CB,29,67
Adrian Nilsen Pereira,Norway,Rosenborg BK,LB,24,67
Elías Pereyra,Argentina,Godoy Cruz,LB,24,67
Manuel Perez,France,Grenoble Foot 38,CDM,32,67
Mauro Perković,Croatia,Dinamo Zagreb,CB,20,67
Adam Phillips,England,Barnsley,CM,25,67
Fabian Piasecki,Poland,Raków,ST,28,67
Juan de Dios Pintado,Uruguay,Defensor,RB,26,67
Bruno Paz,Angola,Konyaspor,CM,25,67
Mattie Pollock,England,Watford,CB,22,67
Pomares,Spain,R. Oviedo,LB,30,67
Mihai Popescu,Romania,Farul Constanța,CB,30,67
Boris Popovic,Serbia,Cercle Brugge,CB,23,67
Segundo Portocarrero,Ecuador,Barcelona SC,LB,26,67
Virgiliu Postolachi,Moldova,Grenoble Foot 38,ST,23,67
Marvin Potzmann,Austria,FK Austria Wien,RB,29,67
Beñat Prados,Spain,Athletic Club,CB,22,67
Ijiel Protti,Argentina,Tigre,RM,28,67
Ruben Providence,France,TSV Hartberg,ST,22,67
Stephen Quemper,France,AC Ajaccio,LB,30,67
Leopold Querfeld,Austria,SK Rapid Wien,CB,19,67
Domingos Quina,Portugal,Udinese,LM,23,67
Jhonny Quiñónez,Ecuador,Aucas,CDM,25,67
Sergio Quiroga,Argentina,Sarmiento,CAM,29,67
Álvaro Quiroga,Bolivia,The Strongest,CM,28,67
Kasim Rabihic,Germany,Saarbrücken,CF,30,67
Bogdan Racovițan,Romania,Raków,CB,23,67
Josip Radošević,Croatia,Brøndby IF,CDM,29,67
Hamza Rafia,Tunisia,Lecce,CAM,24,67
Baba Rahman,Ghana,PAOK FC,LWB,29,67
Jukka Raitala,Finland,HJK Helsinki,CB,35,67
Eric Ramírez,Argentina,Gimnasia,ST,27,67
Eric Ramírez,Venezuela,Atl. Nacional,ST,24,67
Dani Ramírez,Spain,ŁKS Łódź,CAM,31,67
Luís Martins,Portugal,Whitecaps FC,LB,31,67
Mathias Rasmussen,Norway,R. Union St.-G.,CAM,25,67
Mathias Hebo Rasmussen,Denmark,Cracovia,CM,28,67
Vadim Rață,Moldova,FC Voluntari,CM,30,67
Nicola Rauti,Italy,Südtirol,ST,23,67
Raimundo Rebolledo,Chile,Ñublense,RB,26,67
Luciano Recalde,Argentina,Dep. Cuenca,CB,28,67
Constantin Reiner,Austria,SCR Altach,CB,26,67
Cafú,Portugal,Rotherham Utd,CDM,30,67
Giacomo Ricci,Italy,Bari,LB,27,67
Clemens Riedel,Germany,SV Darmstadt 98,CB,20,67
Florian Rieder,Austria,Wolfsberger AC,LM,27,67
Jonathan Ring,Sweden,Jeju United,RW,31,67
Hansell Riojas,Peru,Cienciano,CB,31,67
Braian Rivero,Argentina,Arsenal,CDM,27,67
Cristian Riveros,Paraguay,Libertad,CM,40,67
Blás Riveros,Paraguay,Talleres,LB,25,67
Calogero Rizzuto,Germany,Saarbrücken,LWB,31,67
Carlos Roca,Bolivia,The Strongest,LB,26,67
Valentín Rodríguez,Uruguay,Peñarol,LB,22,67
Luciano Rodríguez,Uruguay,Liverpool,RW,20,67
Kevin Rodríguez,Ecuador,R. Union St.-G.,ST,23,67
Alexis Rodríguez,Argentina,Delfín S.C.,CAM,27,67
Tachi,Spain,CD Mirandés,CB,26,67
Jack Rodwell,England,Sydney FC,CB,32,67
Žan Rogelj,Slovenia,Sp. Charleroi,RM,23,67
Morgan Rogers,England,Middlesbrough,LM,21,67
Alex Roldan,El Salvador,Sounders FC,RB,27,67
Filippo Romagna,Italy,Reggiana,CB,26,67
Mahlon Romeo,Antigua and Barbuda,Cardiff City,RB,28,67
Ángel Romero,Peru,Binacional,CDM,33,67
Iván Romero,Spain,Levante UD,ST,22,67
Romero,Spain,CD Tenerife,LM,27,67
Shaun Rooney,Scotland,Fleetwood Town,RB,27,67
Daan Rots,Holland,FC Twente,RW,22,67
Matteo Rover,Italy,Südtirol,LM,24,67
Jimmy Roye,France,Stade Lavallois,CDM,35,67
Donat Rrudhani,Kosovo,BSC Young Boys,RM,24,67
Rubio Rubin,Guatemala,Real Salt Lake,ST,27,67
Espen Ruud,Norway,Odds BK,RWB,39,67
Matěj Ryneš,Czech Republic,Sparta Praha,LM,22,67
Jonathan Sabbatini,Uruguay,FC Lugano,CM,35,67
Emmanuel Sabbi,United States,Havre AC,RW,25,67
Thomas Sabitzer,Austria,Wolfsberger AC,ST,22,67
Loret Sadiku,Albania,Hammarby IF,CDM,32,67
Ole Christian Sæter,Norway,Rosenborg BK,ST,27,67
Ibrahim Said,Nigeria,Viborg FF,RW,21,67
Rafiki Saïd,Comoros,ESTAC Troyes,LW,23,67
Dylan Saint-Louis,Congo,FC Vizela,RW,28,67
Íñigo Sainz-Maza,Spain,R. Racing Club,CDM,25,67
Horacio Salaberry,Uruguay,River Plate,CB,36,67
Anass Salah-Eddine,Holland,Ajax,LB,21,67
Salinas,Spain,Elche CF,LWB,23,67
Benedikt Saller,Germany,Jahn Regensburg,RB,31,67
Emil Salomonsson,Sweden,IFK Göteborg,RB,34,67
Jhon Sánchez,Ecuador,CS Emelec,RM,24,67
Felipe Sánchez,Argentina,Gimnasia,CB,19,67
Isaías,Spain,Adelaide United,CDM,36,67
Sam Sanna,France,Stade Lavallois,CM,24,67
Iván Santillán,Peru,Cienciano,LB,32,67
Ivan Santini,Croatia,FC Zürich,ST,34,67
Cristian Săpunaru,Romania,FC Rapid 1923,CB,39,67
Rodrigo Saravia,Uruguay,Gimnasia,CDM,23,67
Veysel Sarı,Turkey,Antalyaspor,CB,35,67
Elvis Sarić,Bosnia and Herzegovina,Qingdao Hainiu,CM,33,67
Jeremy Sarmiento,Ecuador,West Brom,RM,21,67
Darío Sarmiento,Argentina,Manchester City,RW,20,67
Romaine Sawyers,St. Kitts and Nevis,Cardiff City,CM,31,67
Franco Sbuttoni,Argentina,Sarmiento,CB,34,67
Aurélien Scheidler,France,FC Andorra,ST,25,67
Lukas Schleimer,Germany,1. FC Nürnberg,CAM,23,67
Dominik Schmid,Switzerland,FC Basel 1893,LB,25,67
Kenneth Schmidt,Germany,SC Freiburg,CB,21,67
Luca Schnellbacher,Germany,SV Elversberg,ST,29,67
Kevin Schumacher,Germany,Hansa Rostock,LM,25,67
Marco Schuster,Germany,SC Paderborn 07,CDM,27,67
Sebastian S. Sebulonsen,Norway,Brøndby IF,RB,23,67
Ayumu Seko,Japan,Grasshopper Club,CB,23,67
Boris Sekulić,Slovakia,Górnik Zabrze,RB,31,67
Seo Min Woo,Korea Republic,Gangwon FC,CM,25,67
Matías Sepúlveda,Chile,Audax Italiano,CM,24,67
Francho Serrano,Spain,Real Zaragoza,CM,21,67
Riyadh Sharahili,Saudi Arabia,Al Shabab,CDM,30,67
Jamil Siebert,Germany,Düsseldorf,CB,21,67
Grego Sierra,Spain,Burgos CF,CB,30,67
